City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
280,kuytun,54.3419,101.5036,16.14,87,100,1.44,RU,1718672110
281,brookings,44.3114,-96.7984,18.43,96,100,2.57,US,1718671875
282,byron bay,-28.65,153.6167,18.17,49,1,3.37,AU,1718672110
283,muynoq,43.7683,59.0214,25.08,58,24,3.25,UZ,1718672110
284,chenaran,36.6455,59.1212,22.02,35,6,1.97,IR,1718672110
285,khandyga,62.6667,135.6,19.37,47,76,0.45,RU,1718672111
286,trnava,48.3774,17.5872,19.91,85,15,1.78,SK,1718672111
287,ulladulla,-35.35,150.4667,13.04,55,7,3.15,AU,1718672111
288,santa elena de uairen,4.6167,-61.1333,19.83,89,100,0.11,VE,1718672111
289,misasi,-3.0,33.0833,16.77,58,0,1.62,TZ,1718672111
290,akureyri,65.6835,-18.0878,8.96,81,100,4.12,IS,1718672111
291,kandalaksha,67.162,32.4123,12.1,67,100,1.21,RU,1718672112
292,anadyr,64.75,177.4833,14.28,51,0,4.0,RU,1718672112
293,mogocha,53.7333,119.7667,11.5,92,100,0.41,RU,1718672112
294,batticaloa,7.7102,81.6924,27.3,82,97,3.05,LK,1718672112
295,labytnangi,66.6572,66.4183,5.23,69,51,1.7,RU,1718672112
296,springbok,-29.6643,17.8865,9.67,89,80,2.87,ZA,1718672112
297,cockburn town,21.4612,-71.1419,28.13,77,0,5.69,TC,1718671912
298,mahina,-17.5065,-149.489,26.87,69,20,8.75,PF,1718672113
299,huarmey,-10.0681,-78.1522,18.45,85,26,4.56,PE,1718672113
300,opuwo,-18.0607,13.84,12.18,31,0,1.64,NA,1718672113
301,ancud,-41.8697,-73.8203,8.46,80,38,4.99,CL,1718672113
302,ventspils,57.3894,21.5606,10.96,100,100,0.0,LV,1718672113
303,mandan,46.8267,-100.8896,19.99,63,100,6.69,US,1718672099
304,maceio,-9.6658,-35.7353,23.69,88,75,3.09,BR,1718672113
305,colesberg,-30.72,25.0972,7.36,71,0,3.71,ZA,1718672114
306,rabigh,22.7986,39.0349,30.35,71,18,3.0,SA,1718672114
307,nar'yan-mar,67.6713,53.087,4.18,59,0,1.92,RU,1718672114
308,tazacorte,28.629,-17.9293,20.54,88,100,4.63,ES,1718672114
309,laguna,38.421,-121.4238,30.16,19,0,7.72,US,1718672114
310,flying fish cove,-10.4217,105.6791,26.82,83,75,4.63,CX,1718672114
311,papao,-17.75,-149.55,26.82,77,25,6.13,PF,1718672114
312,calingasta,-31.3308,-69.4078,9.38,30,9,2.15,AR,1718672115
313,darwin,-12.4611,130.8418,26.64,49,0,4.12,AU,1718671946
314,bowen,-20.0167,148.2333,19.11,59,1,2.57,AU,1718672115
315,north bend,43.4065,-124.2243,18.88,59,0,7.2,US,1718672115
